transaction_id,customer_name,phone_number,age,city,transaction_date,product_category,amount,payment_method
718969,Grace,09178480427,80.0,New York,2023-05-29,Home & Kitchen,,paypal
480570,Bob,09454470547,31.0,,,Electronics,10000.0,debit card
761860,Alice,09984217989,23.0,Miami,2023-12-20,Books,10000.0,cash
414220,Henry,09983003209,54.0,San Francisco,2023-03-22,Groceries,10000.0,paypal
130403,David,09178943535,,Seattle,2023-02-21,Books,266.06,paypal
875973,David,09458104396,,San Francisco,2023-08-04,Toys,10000.0,
391807,Bob,09176939794,,Los Angeles,2023-05-26,Sports,,debit card
798451,Frank,09457858129,,Houston,,Toys,,cash
301798,Alice,09173971476,,Seattle,2023-01-07,Electronics,,paypal
940314,Alice,09206611376,,Seattle,2023-02-09,Toys,,cash
908990,Charlie,09356187407,,San Francisco,2023-05-10,Clothing,,
723945,Henry,09454080216,,Miami,2023-02-13,Clothing,,cash
567716,David,09981977713,,Houston,2023-08-05,Home & Kitchen,,cash
900231,Alice,09207876736,24.0,Chicago,,Clothing,413.65,credit card
916714,Alice,09356580199,,Chicago,2023-12-15,Toys,,credit card
146197,Frank,09452207103,,Miami,2023-05-07,Groceries,10000.0,cash
590280,Eva,09201186689,,Chicago,2023-11-13,Toys,10000.0,credit card 
546834,Eva,09355612527,,New York,2023-01-02,Clothing,26.41,paypal
452431,Bob,09179725079,,New York,2023-02-09,Home & Kitchen,,credit card
954741,Grace,09175681316,,Chicago,2023-03-04,Home & Kitchen,,paypal
380761,Eva,09206089196,88.0,San Francisco,2023-05-08,Home & Kitchen,415.67,cash
274248,Eva,09202578020,,Houston,2023-02-14,Clothing,,credit card
126138,Alice,09451309178,,Seattle,2023-09-27,Sports,,cash
847282,Henry,09982570771,,Seattle,2023-09-24,Sports,,
253172,Henry,09458625818,21.0,Seattle,2023-11-08,Clothing,,cash
234332,David,09354209044,36.0,Los Angeles,,Books,,debit card
742315,Alice,09173782449,,Chicago,2023-04-09,Toys,,paypal
350599,Frank,09179201524,,Los Angeles,2023-08-11,Toys,,credit card
486148,David,09457270317,,New York,2023-10-17,Clothing,,paypal
969231,David,09203643635,79.0,Chicago,2023-06-10,Electronics,431.68,cash
942990,Bob,09206369828,37.0,Miami,2023-07-03,Sports,,cash
665176,Henry,09454040667,,Miami,2023-08-01,Electronics,,paypal
451389,Alice,09209505371,,Seattle,2023-01-04,Home & Kitchen,,paypal
703443,Charlie,09452563031,,Seattle,2023-04-24,Home & Kitchen,,
613933,Charlie,09173185300,,Miami,2023-05-21,Groceries,,cash
293411,Henry,09209047066,,Seattle,,Clothing,,paypal
171594,Eva,09179899297,,San Francisco,,Sports,,credit card 
883376,Eva,09454205562,53.0,Miami,2023-04-06,Groceries,,cash
161703,Henry,09352539116,,Seattle,2023-06-10,Books,,credit card 
495966,Frank,09352978039,,Houston,2023-07-25,Toys,,debit card
652477,Grace,09170503053,,,,Home & Kitchen,,credit card 
728582,Alice,09350963786,,Los Angeles,,Clothing,,debit card
531448,Bob,09450515615,,New York,2023-10-17,Groceries,,debit card
528028,Grace,09456186312,,Los Angeles,,Groceries,,credit card 
876646,Charlie,09355524680,,Los Angeles,2023-06-26,Electronics,,paypal
354034,Charlie,09206681912,,Miami,2023-12-29,Sports,,cash
668949,Alice,09456894385,,Seattle,2023-01-20,Home & Kitchen,,paypal
825676,Charlie,09201570811,,Chicago,2023-06-15,Books,,paypal
123139,Charlie,09458603524,,San Francisco,2023-11-04,Books,10000.0,credit card 
580433,Bob,09175933508,,New York,2023-03-09,Home & Kitchen,215.6,
774683,Henry,09353781119,,Los Angeles,2023-02-02,Electronics,10000.0,debit card
896552,Charlie,09358946641,,New York,,Clothing,10000.0,cash
430026,Eva,09455206014,,Los Angeles,,Home & Kitchen,10000.0,credit card
274415,Charlie,09454169944,,Los Angeles,2023-11-13,Sports,,debit card
686044,Frank,09201695643,,Chicago,,Electronics,210.82,debit card
144847,David,09458582102,,New York,2023-01-21,Clothing,38.12,debit card
632370,Eva,09987542813,,Houston,2023-02-09,Clothing,36.05,cash
576563,Henry,09357178550,,New York,2023-10-29,Books,,
878807,Eva,09202857101,58.0,Houston,2023-05-23,Home & Kitchen,,credit card 
416169,Henry,09202060720,77.0,San Francisco,2023-06-26,Books,,cash
215463,Frank,09352046949,45.0,Chicago,,Toys,407.9,
482435,Charlie,09987184734,,New York,2023-05-05,Electronics,,debit card
952616,Bob,09983560174,,Miami,2023-02-08,Sports,,cash
970188,Frank,09988150590,,San Francisco,2023-03-28,Books,,credit card
212131,Alice,09201859327,,Seattle,2023-11-14,Toys,10000.0,paypal
805063,Bob,09178386416,,San Francisco,2023-02-14,Books,186.65,debit card
481067,Grace,09353482141,,Chicago,2023-10-30,Clothing,,
534336,Frank,09202789958,45.0,Miami,2023-12-12,Books,10000.0,debit card
266247,Alice,09351833238,,,,Groceries,,paypal
774668,Charlie,09203935392,,Chicago,2023-01-30,Groceries,10000.0,debit card
528235,Eva,09984192957,,,2023-06-15,Sports,313.74,cash
718578,Charlie,09456730008,,,2023-10-18,Books,437.28,cash
710559,David,09984215577,,Chicago,2023-10-12,Clothing,,debit card
597826,Bob,09451839935,,Houston,2023-05-08,Toys,10000.0,debit card
486543,David,09357688106,,San Francisco,,Toys,,credit card 
664626,Eva,09984946484,,Houston,2023-11-15,Electronics,,cash
776309,Grace,09171878146,,San Francisco,2023-09-20,Clothing,,debit card
188790,David,09356794885,,San Francisco,2023-11-29,Groceries,,
960575,Charlie,09170595104,,,2023-11-17,Sports,499.63,
175349,Henry,09206287865,,Miami,2023-06-24,Sports,27.2,paypal
608025,Frank,09205952074,,Chicago,2023-08-27,Clothing,,debit card
608533,Charlie,09351207633,,San Francisco,2023-06-25,Sports,,credit card 
895110,Henry,09175564061,,Houston,2023-08-03,Clothing,,credit card
821888,Alice,09350039299,,Los Angeles,2023-09-09,Books,,credit card 
113728,Grace,09453224730,,Los Angeles,,Books,10000.0,debit card
897522,Bob,09354645467,50.0,San Francisco,2023-07-22,Books,333.97,
928659,Frank,09984013968,,New York,2023-06-29,Books,,debit card
284350,David,09457235828,,Chicago,2023-07-30,Groceries,,credit card
983781,Charlie,09984657486,,Los Angeles,,Toys,,credit card
880180,Alice,09984126870,,New York,2023-09-04,Electronics,10000.0,paypal
682108,Frank,09458244818,,San Francisco,2023-08-27,Electronics,,debit card
474698,Frank,09175804017,,Miami,2023-12-29,Groceries,10000.0,paypal
669313,Alice,09350424084,,Miami,,Clothing,304.56,credit card
239652,Bob,09452707897,,Houston,2023-06-27,Books,94.27,paypal
826068,Henry,09179081195,,New York,2023-03-28,Electronics,10000.0,cash
527833,David,09178846514,88.0,San Francisco,2023-07-10,Electronics,,
625144,Henry,09170736768,,Chicago,2023-11-19,Home & Kitchen,,credit card
159877,Charlie,09980903239,,San Francisco,2023-08-02,Home & Kitchen,,
516885,Bob,09202220364,,San Francisco,2023-10-10,Clothing,,paypal
987701,Grace,09358891081,,Los Angeles,2023-08-15,Books,,cash
126845,David,09450955753,,Los Angeles,,Sports,,cash
550665,David,09357646353,,Houston,,Clothing,197.3,credit card
499930,Alice,09450673344,,,2023-05-07,Groceries,10000.0,cash
743417,Frank,09984468893,,Miami,,Electronics,,paypal
245052,Grace,09984094382,,Miami,2023-08-18,Sports,10000.0,cash
295026,David,09459034325,,New York,2023-04-22,Books,,paypal
967730,David,09357203107,27.0,New York,,Electronics,,
539225,David,09200592750,29.0,,2023-06-01,Sports,,debit card
926374,Grace,09350287868,,San Francisco,2023-11-30,Toys,,debit card
