Transaction_ID,Customer_Name,Purchase_Date,Amount_Spent,Payment_Method,Customer_Age
1001,Grace,2023-01-01,120.25,Venmo,
1002,David,08/25/2023,500.3,Credit,34.0
1003,Henry,04-10-2023,75.5,Venmo,50.0
1004,Eve,04-10-2023,85.0,debit ,38.0
1005,Grace,2023.05.12,,Credit Card,34.0
1006,nan,08/25/2023,60.0,crypto,40.0
1007, charlie,2023.05.12,75.5,debit ,29.0
1008,Grace,08/25/2023,99999.99,crypto,50.0
1009,Henry,2023-10-10,100.0,crypto,-5.0
1010,Eve,2023-01-01,250.5,Cash,200.0
1011,David,2023-10-10,120.25,Credit Card,60.0
1012,Henry,09-30-23,500.3,paypal,29.0
1013,Henry,06-15-23,120.25,Venmo,50.0
1014, charlie,"March 5, 2023",75.5,paypal,200.0
1015,Frank,08/25/2023,250.5,Cash,50.0
1016,Eve,09-30-23,99999.99,crypto,
1017,Bob,06-15-23,320.75,Credit,40.0
1018,Henry,2023-07-20,,Venmo,30.0
1019,Frank,2023-01-01,250.5,Venmo,60.0
1020,Bob,2023.05.12,100.0,Credit Card,25.0
1021,Eve,2023.05.12,85.0, Credit,50.0
1022,Alice ,2023-10-10,99999.99,cash,200.0
1023,nan,04-10-2023,,cash,200.0
1024,Frank,06-15-23,60.0,cash,
1025,Ivy,2023-07-20,500.3, Credit,34.0
1026,Alice ,09-30-23,85.0,Credit Card,29.0
1027,nan,2023-01-01,75.5, Credit,30.0
1028, charlie,06-15-23,250.5,cash,45.0
1029,Grace,2023-07-20,,Cash,25.0
1030,David,"March 5, 2023",-50.0,debit ,-5.0
1031,Ivy,08/25/2023,320.75,crypto,45.0
1032, charlie,2023.05.12,60.0, Credit,29.0
1033,Eve,09-30-23,320.75,Credit Card,25.0
1034, charlie,2023.05.12,99999.99,Credit Card,200.0
1035,Grace,09-30-23,500.3,paypal,-5.0
1036,Eve,2023-10-10,99999.99,debit ,50.0
1037,Ivy,04-10-2023,-50.0,Credit,34.0
1038,Grace,09-30-23,100.0,Venmo,30.0
1039,Bob,2023.05.12,500.3,cash,50.0
1040,David,2023-10-10,120.25,Credit,34.0
1041,Ivy,09-30-23,100.0,paypal,40.0
1042,Bob,"March 5, 2023",500.3,cash,
1043,nan,04-10-2023,500.3,debit ,25.0
1044,Ivy,09-30-23,-50.0,paypal,50.0
1045,nan,2023-10-10,75.5,cash,34.0
1046,Eve,06-15-23,-50.0,debit ,45.0
1047,Bob,2023/02/15,500.3,PayPal,
1048,David,2023-07-20,,Credit,34.0
1049,Grace,2023/02/15,100.0,Credit,38.0
1050,Henry,2023/02/15,-50.0,Venmo,40.0
1051, charlie,2023-01-01,75.5,debit ,29.0
1052,Alice ,"March 5, 2023",250.5, Credit,50.0
1053,David,06-15-23,99999.99,PayPal,30.0
1054,Bob,08/25/2023,500.3,Cash,40.0
1055,Henry,09-30-23,120.25,cash,
1056,David,2023-07-20,250.5,PayPal,38.0
1057,Bob,04-10-2023,320.75,debit ,25.0
1058,Frank,06-15-23,85.0,crypto,45.0
1059,Frank,2023.05.12,75.5,cash,30.0
1060,nan,08/25/2023,120.25,Credit Card,50.0
1061,David,2023-01-01,85.0,Credit,30.0
1062,Frank,2023-01-01,75.5,debit ,40.0
1063,Bob,06-15-23,,Credit Card,
1064,nan,2023-10-10,99999.99,Venmo,25.0
1065,Bob,2023/02/15,250.5,paypal,200.0
1066,nan,2023.05.12,100.0,Cash,38.0
1067,David,2023-01-01,75.5,Cash,50.0
1068,Henry,2023-07-20,100.0,Credit Card,200.0
1069,Grace,2023-01-01,99999.99,Credit,45.0
1070,Ivy,04-10-2023,500.3,Venmo,25.0
1071,Henry,09-30-23,320.75,crypto,60.0
1072,Eve,2023-01-01,250.5,Credit,60.0
1073,Bob,04-10-2023,99999.99,PayPal,25.0
1074,Eve,06-15-23,99999.99,Cash,38.0
1075,Henry,06-15-23,,PayPal,-5.0
1076,nan,08/25/2023,85.0,cash,200.0
1077,Ivy,2023-01-01,320.75, Credit,34.0
1078,Ivy,2023-07-20,250.5,debit ,30.0
1079,Alice ,2023-01-01,500.3,Venmo,50.0
1080,Ivy,2023-07-20,500.3,Credit,-5.0
1081,Grace,"March 5, 2023",-50.0,Cash,34.0
1082,Ivy,08/25/2023,99999.99,PayPal,
1083,Henry,"March 5, 2023",75.5,paypal,50.0
1084,Alice ,2023-01-01,,cash,50.0
1085,Henry,08/25/2023,320.75,debit ,60.0
1086,Henry,"March 5, 2023",500.3,debit ,38.0
1087, charlie,2023/02/15,250.5,Credit,
1088,Alice ,2023-01-01,-50.0,Venmo,30.0
1089,Henry,"March 5, 2023",250.5,crypto,29.0
1090, charlie,2023/02/15,,paypal,34.0
1091, charlie,2023/02/15,75.5,Credit,60.0
1092,Alice ,06-15-23,-50.0,PayPal,50.0
1093,Eve,2023-01-01,-50.0, Credit,-5.0
1094,nan,2023/02/15,85.0,Credit Card,60.0
1095,Grace,06-15-23,320.75,crypto,34.0
1096,nan,"March 5, 2023",-50.0,Venmo,34.0
1097,Ivy,04-10-2023,60.0,cash,38.0
1098,Grace,2023-01-01,85.0,crypto,50.0
1099,Ivy,08/25/2023,85.0,Cash,
1100,Henry,2023-07-20,,Venmo,200.0
1101,Bob,2023-07-20,60.0, Credit,29.0
1102,Alice ,"March 5, 2023",100.0,Cash,38.0
1103,Grace,2023-10-10,250.5,crypto,45.0
1104,Grace,2023-10-10,75.5,Credit Card,50.0
1105,Henry,"March 5, 2023",120.25,Credit Card,38.0
1106,Eve,2023/02/15,250.5, Credit,30.0
1107, charlie,2023-01-01,-50.0,debit ,29.0
1108,Henry,2023-07-20,75.5,paypal,60.0
1109,Frank,2023-07-20,500.3,cash,25.0
1110, charlie,2023/02/15,100.0,debit ,45.0
1111,Alice ,2023-07-20,500.3,Credit Card,40.0
1112, charlie,08/25/2023,60.0,Credit Card,38.0
1113,Eve,2023-01-01,500.3,PayPal,34.0
1114, charlie,09-30-23,320.75,Cash,200.0
1115,Alice ,2023-07-20,250.5,crypto,25.0
1116,Eve,"March 5, 2023",120.25,cash,38.0
1117,nan,08/25/2023,, Credit,38.0
1118,Grace,2023-07-20,120.25,crypto,-5.0
1119,Grace,08/25/2023,500.3,PayPal,-5.0
1120,Ivy,06-15-23,-50.0,Credit Card,25.0
1121,nan,09-30-23,100.0, Credit,
1122,nan,2023.05.12,99999.99,Credit Card,60.0
1123, charlie,"March 5, 2023",120.25,cash,-5.0
1124,Grace,"March 5, 2023",500.3,Cash,34.0
1125,Alice ,2023-01-01,100.0,crypto,45.0
1126,David,08/25/2023,75.5,crypto,40.0
1127,David,2023/02/15,250.5,debit ,29.0
1128,Eve,"March 5, 2023",85.0, Credit,40.0
1129,Grace,08/25/2023,320.75,paypal,40.0
1130,Grace,08/25/2023,100.0,PayPal,29.0
1131,David,04-10-2023,-50.0,paypal,-5.0
1132,Grace,04-10-2023,60.0,debit ,25.0
1133, charlie,2023.05.12,-50.0,cash,29.0
1134,Frank,06-15-23,100.0,PayPal,60.0
1135,Bob,2023.05.12,-50.0,Cash,60.0
1136,nan,2023-07-20,250.5,paypal,50.0
1137,Ivy,2023/02/15,-50.0,Cash,30.0
1138,Eve,2023-07-20,120.25,paypal,
1139,Frank,2023-10-10,85.0,Cash,45.0
1140,David,2023-07-20,-50.0,paypal,200.0
1141,nan,2023-01-01,85.0,Cash,-5.0
1142,Grace,2023-07-20,500.3,debit ,
1143,Ivy,2023.05.12,,Venmo,29.0
1144,Grace,"March 5, 2023",250.5,PayPal,30.0
1145,Alice ,"March 5, 2023",, Credit,200.0
1146,Alice ,04-10-2023,500.3,cash,45.0
1147,Ivy,2023/02/15,250.5,Credit,45.0
1148,Ivy,2023/02/15,100.0,Credit Card,-5.0
1149,David,2023-01-01,100.0, Credit,29.0
1150,Ivy,2023.05.12,85.0,Credit Card,
1151, charlie,04-10-2023,500.3,PayPal,25.0
1152,Grace,2023-10-10,85.0, Credit,
1153,Frank,2023/02/15,320.75,Cash,
1154,Henry,"March 5, 2023",-50.0,Cash,45.0
1155,Ivy,2023-07-20,99999.99,Credit,25.0
1156,Eve,2023-07-20,320.75,Credit Card,25.0
1157,Alice ,04-10-2023,-50.0,cash,-5.0
1158, charlie,2023.05.12,250.5,PayPal,200.0
1159,nan,2023.05.12,85.0,Cash,38.0
1160,Henry,06-15-23,250.5,Venmo,40.0
1161,Frank,09-30-23,250.5,debit ,40.0
