Transaction ID,Customer Name,Email,Age,City,Transaction Date,Product Category,Amount ($),Payment Method,Review
718969,Grace,+63 917 848()0427,80,New York,29/05/2023,Home & Kitchen,,PayPal,!!!Extra punctuation???
480570, Bob ,09454470547,31,,,Electronics,10000,debit_card,Data cleaning is necessary...
761860, Alice ,0998-421()7989,23,Maimi,"December 20, 2023",Boks,10000,CASH,"Messy,   text with   spaces!"
414220,   Henry,0998 3003209,54,San Francisco,"March 22, 2023",Groceries,10000,PayPal, This is a   sample review.  
130403,  David,0917 894()3535,twenty,Seattl,"February 21, 2023",Boks,266.0598752443908,PayPal,"Messy,   text with   spaces!"
875973,  David,+63 945 8104396,,San Francisco,08/04/2023,Toys,10000,,Text with$pecial@charact3rs!
391807, Bob ,+63 9176939794,twenty,Los Angeles,2023-05-26,Sprts,-50,debit_card,"Messy,   text with   spaces!"
798451, frank ,0945-7858129,,Huston,,Toys,,Cash,Some RANDOM capitalization issueS
301798, Alice ,0917 397()1476,,Seattl,"January 07, 2023",Electronics,,PayPal,
940314, Alice ,0920 661-1376,,Seattle,2023-02-09,Toys,1K,CASH,!!!Extra punctuation???
908990,Charlie,0935 618-7407,-5,San Francisco,2023-05-10,Clothng,1K,,
723945,   Henry,+63 945 408()0216,-5,Maimi,"February 13, 2023",Clothng,-50,Cash,Text with$pecial@charact3rs!
567716,  David,0998-1977713,,Huston,08/05/2023,Home & Kitchen,,Cash,
900231, Alice ,0920 787-6736,24,Chcago,,Clothing,413.64956332318377,Credit Card,Text with$pecial@charact3rs!
916714, Alice ,+63 935-6580199,twenty,Chicago,2023-12-15,Toys,-50,Credit Card,"Messy,   text with   spaces!"
146197, frank ,+63 945.220()7103,,Maimi,2023-05-07,Groceries,10000,Cash,   lots   of   spaces   here  
590280,Eva  ,0920 118()6689,-5,Chicago,2023-11-13,Toys,10000,credit card ,Text with$pecial@charact3rs!
546834,Eva  ,+63 935.561()2527,,Nw York,2023-01-02,Clothng,26.407233375462262,paypal,Text with$pecial@charact3rs!
452431, Bob ,0917.972 5079,,New York,02/09/2023,Hme & Kitchen,1K,Credit Card,Some RANDOM capitalization issueS
954741,Grace,+63 917()568 1316,150,Chicago,2023-03-04,Hme & Kitchen,1K,PayPal,Data cleaning is necessary...
380761,Eva  ,+63 920()6089196,88,San Francisco,2023-05-08,Home & Kitchen,415.67398439051397,Cash,!!!Extra punctuation???
274248,Eva  ,+63 920()257 8020,-5,Huston,"February 14, 2023",Clothng,1K,Credit Card,
126138, Alice ,+63 945 130()9178,twenty,Seattle,2023-09-27,Sports,-50,Cash,Data cleaning is necessary...
847282,   Henry,0998-257.0771,-5,Seattle,2023-09-24,Sports,1K,,   lots   of   spaces   here  
253172,   Henry,+63 945()8625818,21,Seattle,2023-11-08,Clothng,,Cash,Some RANDOM capitalization issueS
234332,  David,0935-420 9044,36,Los Angeles,,Boks,,debit_card, This is a   sample review.  
742315, Alice ,0917 378.2449,,Chicago,04/09/2023,Toyss,-50,PayPal,"Messy,   text with   spaces!"
350599, frank ,+63 917 9201524,twenty,Los Angeels,08/11/2023,Toys,three hundred,Credit Card,!!!Extra punctuation???
486148,  David,+63 945727.0317,150,New York,"October 17, 2023",Clothng,,paypal,"Messy,   text with   spaces!"
969231,  David,0920()364 3635,79,Chicago,2023-06-10,Electrnics,431.6820999429471,CASH,"Messy,   text with   spaces!"
942990, Bob ,+63 920 636()9828,37,Miami,2023-07-03,Sprts,,CASH,   lots   of   spaces   here  
665176,   Henry,+63 945()404.0667,twenty,Miami,08/01/2023,Electronics,1K,paypal,   lots   of   spaces   here  
451389, Alice ,+63 920950-5371,,Seattle,01/04/2023,Home & Kitchen,three hundred,PayPal,Data cleaning is necessary...
703443,Charlie,+63 945-256.3031,twenty,Seattle,24/04/2023,Hme & Kitchen,three hundred,,
613933,Charlie,0917-3185300,,Maimi,"May 21, 2023",Grocereis,1K,Cash,   lots   of   spaces   here  
293411,   Henry,+63 920.904.7066,twenty,Seattle,,Clothing,-50,paypal, This is a   sample review.  
171594,Eva  ,+63 917-989()9297,,San Fransisco,,Sprts,,credit card ,   lots   of   spaces   here  
883376,Eva  ,0945.420-5562,53,Maimi,04/06/2023,Groceries,-50,Cash,"Messy,   text with   spaces!"
161703,   Henry,+63 935253-9116,,Seattle,06/10/2023,Boks,,credit card ,
495966, frank ,+63 935297 8039,twenty,Houston,25/07/2023,Toyss,1K,debit_card,!!!Extra punctuation???
